vinevar,age,unit,geo\time	2020 	2015 
VIM_TOT,Y10-29,HA,DEB2	2454 	2544 
VIM_TOT,Y10-29,HA,DEB3	25200 	26973 
VIM_TOT,Y10-29,HA,DEC0	54 	52 
VIM_TOT,Y10-29,HA,DED2	136 	226 
VIM_TOT,Y10-29,HA,DED4	: c	: 
VIM_TOT,Y10-29,HA,DED5	79 	: 
VIM_TOT,Y10-29,HA,DEE0	396 	408 
VIM_TOT,Y10-29,HA,DEF0	: c	: 
VIM_TOT,Y10-29,HA,DEG0	: c	40 
VIM_TOT,Y10-29,HA,EL	17407 	20992 
VIM_TOT,Y10-29,HA,EL30	709 	736 
VIM_TOT,Y10-29,HA,EL41	520 	747 
VIM_TOT,Y10-29,HA,EL42	329 	350 
VIM_TOT,Y10-29,HA,EL43	3053 	3534 
VIM_TOT,Y10-29,HA,EL51	900 	683 
VIM_TOT,Y10-29,HA,EL52	1804 	1501 
VIM_TOT,Y10-29,HA,EL53	766 	821 
VIM_TOT,Y10-29,HA,EL54	85 	81 
VIM_TOT,Y10-29,HA,EL61	1450 	1630 
VIM_TOT,Y10-29,HA,EL62	47 	213 
VIM_TOT,Y10-29,HA,EL63	2210 	3694 
VIM_TOT,Y10-29,HA,EL64	2190 	2622 
VIM_TOT,Y10-29,HA,EL65	3344 	4379 
VIM_TOT,Y10-29,HA,ES	364718 	353904 
VIM_TOT,Y10-29,HA,ES11	3725 	2751 
VIM_TOT,Y10-29,HA,ES13	41 	10 
VIM_TOT,Y10-29,HA,ES21	6423 	6247 
VIM_TOT,Y10-29,HA,ES22	12395 	13200 
VIM_TOT,Y10-29,HA,ES23	23824 	23934 
VIM_TOT,Y10-29,HA,ES24	19692 	15930 
VIM_TOT,Y10-29,HA,ES30	1403 	744 
VIM_TOT,Y10-29,HA,ES41	30877 	25551 
VIM_TOT,Y10-29,HA,ES42	158398 	158613 
VIM_TOT,Y10-29,HA,ES43	39199 	40060 
VIM_TOT,Y10-29,HA,ES51	28728 	28214 
VIM_TOT,Y10-29,HA,ES52	22874 	22263 
VIM_TOT,Y10-29,HA,ES53	: 	865 
VIM_TOT,Y10-29,HA,ES61	4577 	: 
VIM_TOT,Y10-29,HA,ES62	10815 	14619 
VIM_TOT,Y10-29,HA,ES70	1747 	901 
